Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/api/[url],1,0,3680.6322000338696,3680.6322000338696,3680.6322000338696,3680.6322000338696,1520.0,0.27162187173408736,0.0,3700,3700,3700,3700,3700,3700,3700,3700,3700,3700,3700
,Aggregated,1,0,3680.6322000338696,3680.6322000338696,3680.6322000338696,3680.6322000338696,1520.0,0.27162187173408736,0.0,3700,3700,3700,3700,3700,3700,3700,3700,3700,3700,3700
