Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/api/[url],6107,582,45,241.47677242560536,7.7056000009179115,42439.3838000251,7453.867201571967,103.85576767499113,9.897503976886334,45,63,76,86,180,880,1900,2700,23000,42000,42000
,Aggregated,6107,582,45,241.47677242560536,7.7056000009179115,42439.3838000251,7453.867201571967,103.85576767499113,9.897503976886334,45,63,76,86,180,880,1900,2700,23000,42000,42000
